Code	Rank	Material1	Count	Material2	Count	Material3	Count
LM04	0	22	5	30012	12	30062	3
LM04	1	24	4	30115	4	30074	6
LM04	2	11	5				
LM04	3	11	5	30011	6	30061	4
LM04	4	12	8	30022	5		
LM04	5	12	8	30032	4	30042	4
LM04	6	12	8	30063	4		
LM04	7	13	8	30073	5	30053	4
LM04	8	13	8	30084	4	30063	4
LM04	9	13	12	30014	4	30094	9
LM04	10	13	15	30115	6	30074	7
LM04	11	13	8	30094	4	30073	7
LM04	12	13	12	30024	4	30104	8
LM04	13	13	15	30135	6	30034	6
LM04	14	13	8	30104	4	30083	5
LM04	15	13	12	30024	4	30104	8
LM04	16	13	15	30135	6	30044	5
LM04	17	3000	4	30135	2		
LM04	18	3000	4	3002	60	30145	3
LM04	19	3000	4	3001	20	30115	4
LM04	20	3000	4	30115	2		
LM04	21	3000	4	3002	60	30135	3
LM04	22	3000	4	3001	20	30145	4
GG01	0	37	5	30022	9	30062	3
GG01	1	39	4	30125	4	30014	6
GG01	2	11	5				
GG01	3	11	5	30021	5	30051	4
GG01	4	12	8	30032	5		
GG01	5	12	8	30042	4	30022	3
GG01	6	12	8	30053	6		
GG01	7	13	8	30063	3	30023	5
GG01	8	13	6	30074	4	30053	8
GG01	9	13	12	30104	4	30084	7
GG01	10	13	15	30125	6	30014	6
GG01	11	13	6	30084	4	30063	4
GG01	12	13	12	30014	4	30094	9
GG01	13	13	15	30125	6	30034	5
GG01	14	13	6	30094	4	30073	7
GG01	15	13	12	30024	4	30104	8
GG01	16	13	15	30115	6	30064	4
GG01	17	3000	4	30135	2		
GG01	18	3000	4	3002	60	30115	3
GG01	19	3000	4	3001	20	30125	4
GG01	20	3000	4	30115	2		
GG01	21	3000	4	3002	60	30135	3
GG01	22	3000	4	3001	20	30145	4
FO01	0	31	5	30052	6	30032	5
FO01	1	33	4	30125	4	30044	5
FO01	2	11	5				
FO01	3	11	5	30011	6	30061	4
FO01	4	12	8	30062	3		
FO01	5	12	8	30012	5	30062	3
FO01	6	12	8	30083	6		
FO01	7	13	8	30093	4	30013	5
FO01	8	13	6	30104	4	30083	5
FO01	9	13	12	30034	4	30014	10
FO01	10	13	15	30125	6	30044	4
FO01	11	13	6	30014	4	30093	7
FO01	12	13	12	30044	4	30024	7
FO01	13	13	15	30125	6	30094	5
FO01	14	13	6	30024	4	30103	5
FO01	15	13	12	30054	4	30034	7
FO01	16	13	15	30115	6	30094	6
FO01	17	3000	4	30145	2		
FO01	18	3000	4	3002	60	30115	3
FO01	19	3000	4	3001	20	30125	4
FO01	20	3000	4	30145	2		
FO01	21	3000	4	3002	60	30125	3
FO01	22	3000	4	3001	20	30135	4
FO03	0	31	5	30062	6	30042	3
FO03	1	33	4	30135	4	30054	6
FO03	2	11	5				
FO03	3	11	5	30021	5	30051	4
FO03	4	12	8	30012	7		
FO03	5	12	8	30022	4	30052	4
FO03	6	12	8	30093	5		
FO03	7	13	8	30103	3	30033	5
FO03	8	13	6	30014	4	30093	7
