 	Code	Rarity	Sex	Class	ByUse	Race	Faction	Place	China	Global	Paradox	Alr_ModX	Alr_ModY
	LM04	☆6	1	1	1	27	3	1	Tue Jul 09 2019 00:00:00 GMT+0900 (日本標準時)	Wed Feb 26 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	GG01	☆6	1	0	1	0	13	7	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	FO01	☆6	1	5	0	15	35	11	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	FO03	☆6	1	5	2	15	35	11	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	RL03	☆6	1	4	4	15	21	99	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	LN02	☆6	1	4	0	11	10	5	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	PL03	☆6	1	3	0	16	5	4	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	SR02	☆6	1	6	0	6	17	10	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
	JC01	☆6	0	1	8	21	11	6	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	1	1	0
	LM05	☆6	1	2	0	10	3	3	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	0	1	1
	RL02	☆6	1	2	2	7	21	12	Tue Apr 30 2019 00:00:00 GMT+0900 (日本標準時)	Thu Jan 16 2020 00:00:00 GMT+0900 (日本標準時)	0	1	1
	AA01	☆6	1	1	5	99	28	19	Thu May 30 2019 00:00:00 GMT+0900 (日本標準時)	Wed Feb 05 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1
